carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
15711,hyundi, Santa Fe,2017,37123,150,42.8,2.2,19899,Semi-Auto,Diesel
18094,vw, Beetle,2015,26196,205,42.8,1.4,11000,Manual,Petrol
17638,vw, Amarok,2019,6822,260,33.6,3,30700,Automatic,Diesel
16418,skoda, Rapid,2018,13553,145,58.9,1,11795,Semi-Auto,Petrol
17341,merc, V Class,2018,30577,145,46.3,2.1,19990,Manual,Diesel
12466,audi, A8,2018,11300,145,50.4,3,34399,Automatic,Diesel
18571,vw, Scirocco,2016,22687,20,55.4,2,15199,Manual,Diesel
16449,vauxhall, GTC,2015,33217,125,60.1,2,7280,Manual,Diesel
19133,audi, A8,2019,5900,145,50.4,3,48000,Automatic,Diesel
18228,bmw, i3,2017,24041,0,470.8,0,21495,Automatic,Hybrid
14031,vw, Scirocco,2017,44081,145,47.1,2,14075,Manual,Petrol
14233,ford, Galaxy,2016,24664,150,52.3,2,19500,Automatic,Diesel
15137,bmw, 7 Series,2019,7414,145,44.8,3,47890,Automatic,Diesel
16284,vw, Tiguan Allspace,2020,2334,145,35.8,1.5,29399,Semi-Auto,Petrol
15868,ford, Grand C-MAX,2018,21384,145,54.3,1,11999,Manual,Petrol
17964,skoda, Rapid,2014,40468,145,48.7,1.4,7495,Semi-Auto,Petrol
13289,merc, V Class,2018,15232,145,48.7,2.1,19750,Automatic,Diesel
19266,vw, Caravelle,2019,6280,145,33.6,2,46795,Semi-Auto,Diesel
19588,vw, Shuttle,2018,16203,145,47.1,2,27994,Semi-Auto,Diesel
14704,ford, Galaxy,2017,35495,125,56.5,2,17999,Manual,Diesel
17741,merc, M Class,2013,84000,205,44.8,2.1,17500,Automatic,Diesel
17237,ford, Grand C-MAX,2017,11373,30,54.3,1,11891,Manual,Petrol
17034,vauxhall, Combo Life,2019,7300,145,42.2,1.2,14990,Manual,Petrol
12856,ford, Tourneo Custom,2017,33650,235,44.1,2,17995,Manual,Diesel
19143,bmw, Z4,2019,467,145,38.7,2,32970,Automatic,Petrol
14566,audi, RS5,2019,2000,145,30.1,2.9,53990,Automatic,Petrol
17941,skoda, Rapid,2017,33599,145,74.3,1.6,9185,Manual,Diesel
12741,ford, Edge,2016,27500,160,48.7,2,17900,Manual,Diesel
13910,ford, Grand C-MAX,2017,25243,30,64.2,1.5,12498,Manual,Diesel
18166,vw, Scirocco,2015,90000,30,53.3,2,9475,Manual,Diesel
12679,ford, Grand Tourneo Connect,2016,30000,125,61.4,1.5,13995,Manual,Diesel
17823,vw, Arteon,2019,100,150,52.3,2,25390,Manual,Diesel
12616,toyota, GT86,2017,14345,150,36.2,2,17000,Manual,Petrol
14906,toyota, Hilux,2018,16734,265,36.2,2.4,23994,Automatic,Diesel
19480,merc, GLS Class,2017,26452,305,37.2,3,38343,Automatic,Diesel
12404,audi, A7,2017,34132,30,62.8,3,21150,Semi-Auto,Diesel
14654,skoda, Rapid,2017,32657,0,74.3,1.6,8485,Manual,Diesel
12051,vw, Arteon,2019,7865,145,50.4,2,28995,Automatic,Diesel
16714,vw, Tiguan Allspace,2019,5000,150,44.1,2,26999,Semi-Auto,Diesel
19494,vw, Shuttle,2019,3615,145,38.2,2,20480,Manual,Diesel
17444,toyota, Prius,2018,20252,135,85.6,1.8,22000,Automatic,Hybrid
16879,ford, KA,2018,5007,145,57.7,1.2,8299,Manual,Petrol
17522,skoda, Rapid,2016,49093,0,74.3,1.6,6985,Manual,Diesel
18082,hyundi, Santa Fe,2016,10200,200,46.3,2.2,17390,Manual,Diesel
19058,toyota, Verso,2017,33989,165,43.5,1.8,14800,Automatic,Other
16026,skoda, Scala,2020,5234,145,49.6,1,16490,Manual,Petrol
13200,audi, A8,1997,122000,265,18.9,4.2,4650,Automatic,Petrol
13675,hyundi, IX20,2016,28500,125,50.4,1.4,8189,Manual,Petrol
12640,ford, Grand Tourneo Connect,2015,54429,125,58.9,1.6,10499,Manual,Diesel
12978,hyundi, Santa Fe,2018,21588,145,47.1,2.2,20842,Manual,Diesel
14076,merc, S Class,2019,4688,150,31.7,4,109995,Semi-Auto,Petrol
14577,merc, GLB Class,2020,29,145,46.3,2,39480,Semi-Auto,Diesel
13575,merc, M Class,2013,51800,200,44.8,2.1,15990,Automatic,Diesel
18682,bmw, 7 Series,2019,706,145,44.1,3,52700,Semi-Auto,Diesel
18078,audi, Q8,2019,945,145,33.6,3,56000,Automatic,Diesel
18478,merc, GL Class,2015,42073,125,55.4,2.1,15999,Automatic,Diesel
19141,merc, X-CLASS,2019,39,260,35.8,2.3,28675,Automatic,Diesel
16974,bmw, X7,2019,17561,145,24.8,3,67989,Semi-Auto,Petrol
16006,audi, RS6,2015,24987,315,29.4,4,44950,Automatic,Petrol
12653,skoda, Yeti,2013,67235,200,47.1,2,6688,Manual,Diesel
16813,ford, Edge,2017,20045,160,48.7,2,20750,Semi-Auto,Diesel
16936,bmw, M4,2017,5735,145,32.5,3,39950,Automatic,Petrol
14033,ford, Edge,2017,41726,160,48.7,2,18998,Semi-Auto,Diesel
18363,vauxhall, GTC,2016,44310,200,42.8,1.4,9240,Automatic,Petrol
16900,ford, Edge,2017,22922,160,48.7,2,19999,Manual,Diesel
18025,vauxhall, Combo Life,2019,17957,145,53.3,1.5,15990,Manual,Diesel
13848,merc, S Class,2015,46757,205,47.9,3,25460,Automatic,Diesel
16208,audi, Q8,2019,4488,145,33.6,3,48995,Semi-Auto,Diesel
13841,toyota, Verso,2016,13992,165,43.5,1.8,13490,Semi-Auto,Petrol
14265,merc, SLK,2001,48172,325,30,2.3,3990,Automatic,Petrol
18586,ford, KA,2018,10691,150,47.9,1.2,9500,Manual,Petrol
12925,ford, Galaxy,2017,32750,125,56.5,2,18999,Manual,Diesel
